index,code,longitude,latitude
141,GR,25.01694504,34.930827
872,IT,6.852782289,44.5408361
835,IT,18.04076328,39.9377091
489,NL,5.03847324,51.48694509
373,DE,6.270418215,50.61985397
933,IT,13.71139126,37.97666411
486,NL,5.638818172,50.8488821
686,CZ,14.31139119,50.8822181
1289,ES,-6.870690896,40.01597311
954,IT,9.013536183,39.2631912
736,DK,10.96194512,56.44221814
674,CZ,16.10333615,48.75000006
480,NL,5.96360921,51.80666424
538,AL,19.47944505,40.35485396
278,FR,8.665282187,42.51110912
939,IT,8.366109095,39.22610916
594,BA,17.30374505,43.27569107
462,DE,11.1040271,47.39652705
765,DK,11.27333618,55.99166419
919,IT,12.44447329,41.90271806
1214,RO,29.66432714,45.21180007
965,ME,19.05957322,43.23594509
1194,RO,20.80832707,45.47888221
1088,SK,17.16638225,48.0125002
208,FR,0.211109212,49.71888219
210,FR,1.62500016,50.87777318
260,FR,5.02416332,43.55263603
1028,PL,19.2307632,54.33367311
1297,ES,-7.418608866,41.82277315
293,CH,6.990554123,47.49721818
1179,BG,25.28235415,41.24304501
460,DE,13.01250012,47.46979108
605,BA,18.6341633,45.08332712
1269,ES,-4.399863915,36.72145399
698,CZ,17.65777317,50.10805396
27,PT,-8.802499809,38.37444509
713,DK,8.092918226,55.55620906
502,NL,5.855000197,52.60690918
868,IT,8.06778224,43.89305395
903,IT,13.71694511,45.59610916
603,BA,16.91392721,45.26594499
781,DK,8.415800202,56.67812714
1203,RO,25.33388223,47.91666421
999,PL,16.2190272,50.4102732
688,CZ,14.82833619,50.86582712
885,IT,9.293782266,46.50082715
1050,RS,19.10444507,44.35582704
1037,PL,23.60463609,51.5276912
782,DK,8.607218061,56.63055397
407,DE,8.600482196,54.32638219
569,AT,15.02860919,49.018745
305,CH,10.39076335,47.00256418
108,GR,21.87513615,36.72353605
1064,RS,21.48277322,45.18360905
231,FR,6.990554123,47.49721818
722,DK,8.680827096,56.61784499
1211,RO,28.21483607,45.44864499
579,AT,16.50486334,47.00676419
1132,SI,15.69610909,45.84305411
1143,MK,21.60000017,40.8727731
636,HR,14.39250019,45.48610908
557,AT,12.73694505,47.68270919
690,CZ,15.37971823,50.77944507
596,BA,16.1454822,44.19867323
591,BA,17.64984506,42.88907311
36,PT,-9.359581883,39.35666417
1164,BG,27.03642715,44.14733608
192,FR,-3.53666384,48.82582712
194,FR,-2.685281913,48.50166422
1234,ES,-4.514554838,43.39634505
48,GR,21.04208226,40.56402704
197,FR,-1.988054921,48.68694502
635,HR,13.59173607,45.4817002
496,NL,3.867982201,51.812145
258,FR,5.039582167,43.34790905
139,GR,26.3011091,35.28305402
58,GR,26.07763617,41.71430009
859,IT,13.71221822,41.25110907
396,DE,8.503891155,53.36235402
767,DK,11.67055407,55.81416414
731,DK,10.3052733,56.748054
1123,SI,13.71865401,46.52660904
272,FR,1.738609147,42.61639119
1307,ES,-8.656108864,42.42777322
863,IT,11.09742719,42.39651811
737,DK,10.74500018,56.16389117
1206,RO,27.00055412,48.15554509
1175,BG,26.6213823,41.97305396
1055,RS,18.98126328,45.38221808
358,BE,4.868473156,49.80221809
218,FR,4.510554155,49.94749122
1303,ES,-8.875136712,41.87950907
198,FR,-1.368890772,48.64360907
1093,SK,18.56590025,49.49367319
234,FR,6.128682244,46.58805409
301,CH,9.533573261,47.27454504
833,IT,18.51250015,40.13471802
673,CZ,16.54055415,48.81235405
13,PT,-6.796108888,40.52443612
244,FR,7.127782139,45.25930015
837,IT,17.20381818,40.41249111
911,IT,12.2476362,44.72388211
390,DE,8.014309218,53.70832714
666,HR,17.25471812,43.46402707
205,FR,-0.228336706,49.28360912
717,DK,8.262918143,56.07888225
516,NL,7.208363242,53.24280914
1240,ES,-0.754099798,42.96437311
1067,RS,21.39866334,44.78310009
437,DE,14.63958226,52.57298209
292,CH,6.881663309,47.36367317
1027,PL,19.65110911,54.45582711
941,IT,8.395973146,39.90130918
775,DK,11.84708215,55.95555411
815,HU,19.63055417,48.23389108
1151,BG,22.3652733,42.32388221
797,HU,19.56527322,46.1727732
425,DE,11.41277316,53.91971806
19,PT,-7.257154971,38.72340015
689,CZ,15.17694507,51.01471805
166,FR,-2.125417886,46.83097321
755,DK,12.02555415,55.16944508
908,IT,12.28708227,45.47332702
1000,PL,16.44736332,50.57881818
771,DK,11.93583611,55.65332715
1262,ES,-0.858336811,37.71554502
25,PT,-8.98923671,37.02630917
271,FR,1.723609228,42.50943609
631,HR,14.48277328,45.31110014
253,FR,7.390900138,43.74937321
786,DK,9.391318116,57.15214505
113,GR,21.38444512,38.21139109
